0,0
716,0
716,924
0,924
358,0
0,462
716,462
358,924
188,404
186,416
183,432
182,449
180,478
182,502
182,516
184,531
184,549
194,434
194,526
199,412
193,424
191,442
200,457
202,442
201,424
198,503
191,517
193,537
198,546
200,536
200,516
196,479
209,478
225,478
240,479
264,480
260,453
260,506
309,444
303,454
298,467
300,477
298,486
302,500
310,516
320,501
323,486
323,477
319,463
316,453
310,480
117,484
173,366
145,365
117,368
94,373
75,383
51,400
32,421
23,443
16,484
21,520
33,545
50,564
70,583
94,593
119,600
145,603
174,601
173,359
198,356
220,358
246,361
264,370
179,613
197,621
221,617
247,609
267,594
276,385
303,390
333,401
363,416
387,438
400,481
394,517
375,542
342,565
309,578
276,584
347,389
377,405
407,437
447,490
415,535
388,559
352,578
465,144
447,212
418,284
390,350
394,623
422,677
452,743
479,817
711,60
636,82
574,108
501,132
523,827
590,850
644,866
703,878
413,380
473,395
547,411
626,430
700,443
421,587
480,575
556,561
637,547
703,532
715,528
259,463
258,496
119,407
127,555
96,387
79,395
56,409
