0,0
716,0
716,924
0,924
358,0
0,462
716,462
358,924
136,476
131,486
132,501
136,522
141,546
143,567
145,584
146,601
155,613
156,499
169,584
157,479
151,490
154,508
163,520
165,507
163,488
169,563
165,576
168,598
175,605
176,596
174,574
159,543
175,540
189,537
207,532
228,533
217,501
227,566
247,483
244,498
244,516
249,532
248,549
252,562
259,579
274,562
277,547
276,529
270,507
260,491
261,531
98,551
158,441
139,446
116,454
98,462
79,474
61,491
48,512
39,534
39,563
49,587
68,609
86,624
106,636
126,642
144,646
165,647
187,648
154,434
166,429
189,428
219,427
236,432
190,656
209,656
226,651
247,644
267,635
234,439
261,440
286,447
309,462
324,483
336,518
333,553
323,577
308,598
288,617
262,626
295,426
336,440
361,468
397,521
384,553
363,588
332,608
413,184
391,250
362,305
341,356
376,642
416,695
451,743
485,808
713,60
622,83
521,114
444,149
507,816
568,841
635,853
701,873
355,408
434,421
526,434
614,442
698,458
407,604
479,596
558,591
623,582
695,562
714,556
214,516
218,554
86,504
109,605
102,472
81,484
64,498
